"Area","area2","Station","Replicates","Richness","Abundance","log(abund)","Depth"
"H","hypoxic",2,1,13,68,1.84,6.1
"H","hypoxic",2,2,19,186,2.27,6.1
"H","hypoxic",2,3,15,132,2.12,6.1
"H","hypoxic",16,1,10,37,1.58,21.13
"H","hypoxic",16,2,15,88,1.95,21.13
"H","hypoxic",16,3,22,107,2.03,21.13
"H","hypoxic",25,1,13,147,2.17,16.63
"H","hypoxic",25,2,11,66,1.83,16.63
"H","hypoxic",25,3,12,58,1.77,16.63
"H","hypoxic",43,1,18,51,1.72,17.63
"H","hypoxic",43,2,17,31,1.51,17.63
"H","hypoxic",43,3,17,43,1.64,17.63
"H","hypoxic",58,1,6,84,1.93,10.13
"H","hypoxic",58,2,7,122,2.09,10.13
"H","hypoxic",58,3,6,119,2.08,10.13
"I ","inshore",1,1,10,91,1.96,7.5
"I ","inshore",1,2,13,122,2.09,7.5
"I ","inshore",1,3,9,108,2.04,7.5
"I ","inshore",26,1,24,268,2.43,4
"I ","inshore",26,2,27,470,2.67,4
"I ","inshore",26,3,28,271,2.43,4
"I ","inshore",27,1,22,195,2.29,8.38
"I ","inshore",27,2,20,240,2.38,8.38
"I ","inshore",27,3,19,338,2.53,8.38
"I ","inshore",32,1,11,121,2.09,13.88
"I ","inshore",32,2,11,120,2.08,13.88
"I ","inshore",32,3,13,40,1.61,13.88
"O ","offshore",37,1,43,250,2.4,17.5
"O ","offshore",37,2,38,181,2.26,17.5
"O ","offshore",37,3,37,190,2.28,17.5
"O ","offshore",38,1,18,93,1.97,15.88
"O ","offshore",38,2,24,145,2.16,15.88
"O ","offshore",38,3,20,94,1.98,15.88
"O ","offshore",42,1,23,73,1.87,17.38
"O ","offshore",42,2,27,124,2.1,17.38
"O ","offshore",42,3,30,82,1.92,17.38
"O ","offshore",48,1,26,170,2.23,13.38
"O ","offshore",48,2,31,71,1.86,13.38
"O ","offshore",48,3,28,76,1.89,13.38
"O ","offshore",49,1,21,63,1.81,10.38
"O ","offshore",49,2,29,183,2.26,10.38
"O ","offshore",49,3,27,117,2.07,10.38
"O ","offshore",65,1,10,59,1.78,8.88
"O ","offshore",65,2,21,84,1.93,8.88
"O ","offshore",65,3,21,85,1.93,8.88
